NCS_CODE_NO,NCS_LCLAS_CD,NCS_LCLAS_CDNM,NCS_MCLAS_CD,NCS_MCLAS_CDNM,NCS_SCLAS_CD,NCS_SCLAS_CDNM,NCS_DEGR,USG_YN
010101,01,사업관리,01,사업관리,01,프로젝트관리,28,Y
010102,01,사업관리,01,사업관리,02,해외관리,28,Y
020101,02,경영·회계·사무,01,기획사무,01,경영기획,28,Y
020102,02,경영·회계·사무,01,기획사무,02,홍보·광고,28,Y
020103,02,경영·회계·사무,01,기획사무,03,마케팅,28,Y
020201,02,경영·회계·사무,02,총무·인사,01,총무,28,Y
020202,02,경영·회계·사무,02,총무·인사,02,인사·조직,28,Y
020203,02,경영·회계·사무,02,총무·인사,03,일반사무,28,Y
020301,02,경영·회계·사무,03,재무·회계,01,재무,28,Y
020302,02,경영·회계·사무,03,재무·회계,02,회계,28,Y
020401,02,경영·회계·사무,04,생산·품질관리,01,생산관리,28,Y
020402,02,경영·회계·사무,04,생산·품질관리,02,품질관리,28,Y
020403,02,경영·회계·사무,04,생산·품질관리,03,물류무역관리,28,Y
030101,03,금융·보험,01,금융,01,금융영업,28,Y
030102,03,금융·보험,01,금융,02,금융상품개발,28,Y
030103,03,금융·보험,01,금융,03,신용분석,28,Y
030104,03,금융·보험,01,금융,04,자산운용,28,Y
030105,03,금융·보험,01,금융,05,금융영업지원,28,Y
030106,03,금융·보험,01,금융,06,증권·외환,28,Y
030201,03,금융·보험,02,보험,01,보험상품개발,28,Y
030202,03,금융·보험,02,보험,02,보험영업·계약,28,Y
030203,03,금융·보험,02,보험,03,손해사정,28,Y
040101,04,교육·자연·사회과학,01,학교교육,01,학교교육,28,Y
040201,04,교육·자연·사회과학,02,평생교육,01,평생교육,28,Y
040202,04,교육·자연·사회과학,02,평생교육,02,평생교육운영,28,Y
040301,04,교육·자연·사회과학,03,직업교육,01,직업교육,28,Y
040302,04,교육·자연·사회과학,03,직업교육,02,이러닝,28,Y
050101,05,법률·경찰·소방·교도·국방,01,법률,01,법무,28,Y
050102,05,법률·경찰·소방·교도·국방,01,법률,02,지식재산관리,28,Y
050201,05,법률·경찰·소방·교도·국방,02,소방방재,01,소방,28,Y
050202,05,법률·경찰·소방·교도·국방,02,소방방재,02,방재,28,Y
050203,05,법률·경찰·소방·교도·국방,02,소방방재,03,스마트재난관리,28,Y
060101,06,보건·의료,01,보건,01,의료기술지원,28,Y
060102,06,보건·의료,01,보건,02,보건지원,28,Y
060103,06,보건·의료,01,보건,03,약무,28,Y
060201,06,보건·의료,02,의료,01,임상의학,28,Y
060202,06,보건·의료,02,의료,02,간호,28,Y
060203,06,보건·의료,02,의료,03,기초의학,28,Y
060204,06,보건·의료,02,의료,04,임상지원,28,Y
070101,07,사회복지·종교,01,사회복지,01,사회복지정책,28,Y
070102,07,사회복지·종교,01,사회복지,02,사회복지서비스,28,Y
070201,07,사회복지·종교,02,상담,01,직업상담서비스,28,Y
070202,07,사회복지·종교,02,상담,02,청소년지도,28,Y
070203,07,사회복지·종교,02,상담,03,심리상담,28,Y
070301,07,사회복지·종교,03,보육,01,보육,28,Y
080101,08,문화·예술·디자인·방송,01,문화·예술,01,문화예술경영,28,Y
080102,08,문화·예술·디자인·방송,01,문화·예술,02,실용예술,28,Y
080103,08,문화·예술·디자인·방송,01,문화·예술,03,공연예술,28,Y
080104,08,문화·예술·디자인·방송,01,문화·예술,04,문화재관리,28,Y
080201,08,문화·예술·디자인·방송,02,디자인,01,디자인,28,Y
080301,08,문화·예술·디자인·방송,03,문화콘텐츠,01,문화콘텐츠기획,28,Y
080302,08,문화·예술·디자인·방송,03,문화콘텐츠,02,문화콘텐츠제작,28,Y
080303,08,문화·예술·디자인·방송,03,문화콘텐츠,03,문화콘텐츠유통·서비스,28,Y
080304,08,문화·예술·디자인·방송,03,문화콘텐츠,04,영상제작,28,Y
090101,09,운전·운송,01,자동차운전·운송,01,자동차운전·운송,28,Y
090201,09,운전·운송,02,철도운전·운송,01,철도운전운영,28,Y
090202,09,운전·운송,02,철도운전·운송,02,철도시설유지보수,28,Y
090301,09,운전·운송,03,선박운전·운송,01,선박운항,28,Y
090302,09,운전·운송,03,선박운전·운송,02,검수·검량,28,Y
090401,09,운전·운송,04,항공운전·운송,01,항공기조종운송,28,Y
090402,09,운전·운송,04,항공운전·운송,02,항공운항,28,Y
090403,09,운전·운송,04,항공운전·운송,03,항행안전시설,28,Y
100101,10,영업판매,01,영업,01,일반·해외영업,28,Y
100201,10,영업판매,02,부동산,01,부동산컨설팅,28,Y
100202,10,영업판매,02,부동산,02,부동산관리,28,Y
100203,10,영업판매,02,부동산,03,부동산중개,28,Y
100204,10,영업판매,02,부동산,04,감정평가,28,Y
100301,10,영업판매,03,판매,01,e-비지니스,28,Y
100302,10,영업판매,03,판매,02,일반판매,28,Y
100303,10,영업판매,03,판매,03,상품중개·경매,28,Y
110101,11,경비·청소,01,경비,01,경비·경호,28,Y
110201,11,경비·청소,02,청소,01,청소,28,Y
120101,12,이용·숙박·여행·오락·스포츠,01,이·미용,01,이·미용서비스,28,Y
120201,12,이용·숙박·여행·오락·스포츠,02,결혼·장례,01,결혼서비스,28,Y
120202,12,이용·숙박·여행·오락·스포츠,02,결혼·장례,02,장례서비스,28,Y
120301,12,이용·숙박·여행·오락·스포츠,03,관광·레저,01,여행서비스,28,Y
120302,12,이용·숙박·여행·오락·스포츠,03,관광·레저,02,숙박서비스,28,Y
120303,12,이용·숙박·여행·오락·스포츠,03,관광·레저,03,컨벤션,28,Y
120304,12,이용·숙박·여행·오락·스포츠,03,관광·레저,04,관광레저서비스,28,Y
120401,12,이용·숙박·여행·오락·스포츠,04,스포츠,01,스포츠용품,28,Y
120402,12,이용·숙박·여행·오락·스포츠,04,스포츠,02,스포츠시설,28,Y
120403,12,이용·숙박·여행·오락·스포츠,04,스포츠,03,스포츠경기·지도,28,Y
120404,12,이용·숙박·여행·오락·스포츠,04,스포츠,04,스포츠마케팅,28,Y
120405,12,이용·숙박·여행·오락·스포츠,04,스포츠,05,레크리에이션,28,Y
130101,13,음식서비스,01,식음료조리·서비스,01,음식조리,28,Y
130102,13,음식서비스,01,식음료조리·서비스,02,식음료서비스,28,Y
130103,13,음식서비스,01,식음료조리·서비스,03,외식경영,28,Y
140101,14,건설,01,건설공사관리,01,건설시공전관리,28,Y
140102,14,건설,01,건설공사관리,02,건설시공관리,28,Y
140103,14,건설,01,건설공사관리,03,건설시공후관리,28,Y
140104,14,건설,01,건설공사관리,04,스마트건설관리,28,Y
140201,14,건설,02,토목,01,토목설계·감리,28,Y
140202,14,건설,02,토목,02,토목시공,28,Y
140203,14,건설,02,토목,03,측량·지리정보개발,28,Y
140301,14,건설,03,건축,01,건축설계·감리,28,Y
140302,14,건설,03,건축,02,건축시공,28,Y
140303,14,건설,03,건축,03,건축설비설계·시공,28,Y
140401,14,건설,04,플랜트,01,플랜트설계·감리,28,Y
140402,14,건설,04,플랜트,02,플랜트시공,28,Y
140403,14,건설,04,플랜트,03,플랜트사업관리,28,Y
140501,14,건설,05,조경,01,조경,28,Y
140601,14,건설,06,도시·교통,01,국토·도시계획,28,Y
140602,14,건설,06,도시·교통,02,교통계획·설계,28,Y
140603,14,건설,06,도시·교통,03,주거서비스,28,Y
140604,14,건설,06,도시·교통,04,지능형교통,28,Y
140701,14,건설,07,건설기계운전·정비,01,토공기계운전,28,Y
140702,14,건설,07,건설기계운전·정비,02,기초공건설기계운전,28,Y
140703,14,건설,07,건설기계운전·정비,03,콘크리트공기계운전,28,Y
140704,14,건설,07,건설기계운전·정비,04,적재기계운전,28,Y
140705,14,건설,07,건설기계운전·정비,05,양중기계운전,28,Y
140706,14,건설,07,건설기계운전·정비,06,건설기계정비,28,Y
140801,14,건설,08,해양자원,01,해양환경조사,28,Y
140802,14,건설,08,해양자원,02,해양환경관리,28,Y
140803,14,건설,08,해양자원,03,해양플랜트설계·설치·운용,28,Y
140804,14,건설,08,해양자원,04,해양자원개발·관리,28,Y
140805,14,건설,08,해양자원,05,잠수,28,Y
150101,15,기계,01,기계설계,01,설계기획,28,Y
150102,15,기계,01,기계설계,02,기계설계,28,Y
150201,15,기계,02,기계가공,01,절삭가공,28,Y
150202,15,기계,02,기계가공,02,특수가공,28,Y
150301,15,기계,03,기계조립·관리,01,기계조립,28,Y
150302,15,기계,03,기계조립·관리,02,기계생산관리,28,Y
150401,15,기계,04,기계품질관리,01,기계품질관리,28,Y
150501,15,기계,05,기계장치설치,01,기계장비설치·정비,28,Y
150502,15,기계,05,기계장치설치,02,냉동공조설비,28,Y
150503,15,기계,05,기계장치설치,03,이륜차정비,28,Y
150601,15,기계,06,자동차,01,자동차설계,28,Y
150602,15,기계,06,자동차,02,자동차제작,28,Y
150603,15,기계,06,자동차,03,자동차정비,28,Y
150604,15,기계,06,자동차,04,자동차정비관리,28,Y
150605,15,기계,06,자동차,05,자동차관리,28,Y
150701,15,기계,07,철도차량제작,01,철도차량설계·제작,28,Y
150702,15,기계,07,철도차량제작,02,철도차량유지보수,28,Y
150801,15,기계,08,조선,01,선박설계,28,Y
150802,15,기계,08,조선,02,선체건조,28,Y
150803,15,기계,08,조선,03,선박의장생산,28,Y
150804,15,기계,08,조선,04,선박품질관리,28,Y
150805,15,기계,08,조선,05,선박생산관리,28,Y
150806,15,기계,08,조선,06,시운전,28,Y
150807,15,기계,08,조선,07,선박정비,28,Y
150808,15,기계,08,조선,08,레저선박,28,Y
150901,15,기계,09,항공기제작,01,항공기설계,28,Y
150902,15,기계,09,항공기제작,02,항공기제작,28,Y
150903,15,기계,09,항공기제작,03,항공기정비,28,Y
150904,15,기계,09,항공기제작,04,항공장비관리,28,Y
151000,15,기계,10,금형,00,금형(공통),28,Y
151001,15,기계,10,금형,01,사출금형,28,Y
151002,15,기계,10,금형,02,프레스금형,28,Y
151003,15,기계,10,금형,03,다이캐스팅금형,28,Y
151101,15,기계,11,스마트공장(smart factory),01,스마트공장(smart factory)설계,28,Y
151102,15,기계,11,스마트공장(smart factory),02,스마트공장(smart factory)설치,28,Y
151103,15,기계,11,스마트공장(smart factory),03,스마트공장(smart factory)운영관리,28,Y
160101,16,재료,01,금속재료,01,금속엔지니어링,28,Y
160102,16,재료,01,금속재료,02,금속재료제조,28,Y
160103,16,재료,01,금속재료,03,금속가공,28,Y
160104,16,재료,01,금속재료,04,표면처리,28,Y
160105,16,재료,01,금속재료,05,용접,28,Y
160106,16,재료,01,금속재료,06,비철금속재료제조,28,Y
160200,16,재료,02,세라믹재료,00,세라믹재료공통,28,Y
160203,16,재료,02,세라믹재료,03,소성·소결세라믹제조,28,Y
160204,16,재료,02,세라믹재료,04,용융세라믹제조,28,Y
160205,16,재료,02,세라믹재료,05,탄소재료제조,28,Y
170101,17,화학·바이오,01,화학·바이오공통,01,화학물질·품질관리,28,Y
170102,17,화학·바이오,01,화학·바이오공통,02,화학공정관리,28,Y
170103,17,화학·바이오,01,화학·바이오공통,03,화학제품연구개발,28,Y
170200,17,화학·바이오,02,석유·기초화학물,00,석유화학공통,28,Y
170201,17,화학·바이오,02,석유·기초화학물,01,석유·천연가스,28,Y
170202,17,화학·바이오,02,석유·기초화학물,02,기초유기화학물,28,Y
170203,17,화학·바이오,02,석유·기초화학물,03,기초무기화학물,28,Y
170300,17,화학·바이오,03,정밀화학,00,정밀화학(공통),28,Y
170301,17,화학·바이오,03,정밀화학,01,비료·농약,28,Y
170302,17,화학·바이오,03,정밀화학,02,기능성정밀화학,28,Y
170306,17,화학·바이오,03,정밀화학,06,의약품,28,Y
170307,17,화학·바이오,03,정밀화학,07,화장품,28,Y
170401,17,화학·바이오,04,플라스틱·고무,01,플라스틱,28,Y
170402,17,화학·바이오,04,플라스틱·고무,02,고무,28,Y
170501,17,화학·바이오,05,바이오,01,바이오의약,28,Y
170502,17,화학·바이오,05,바이오,02,바이오화학,28,Y
170503,17,화학·바이오,05,바이오,03,바이오기술,28,Y
180101,18,섬유·의복,01,섬유제조,01,섬유생산,28,Y
180102,18,섬유·의복,01,섬유제조,02,섬유가공,28,Y
180103,18,섬유·의복,01,섬유제조,03,섬유생산관리,28,Y
180201,18,섬유·의복,02,패션,01,패션제품기획,28,Y
180202,18,섬유·의복,02,패션,02,패션제품생산,28,Y
180203,18,섬유·의복,02,패션,03,패션제품유통,28,Y
180204,18,섬유·의복,02,패션,04,신발개발·생산,28,Y
180301,18,섬유·의복,03,의복관리,01,세탁·수선,28,Y
190101,19,전기·전자,01,전기,01,발전설비설계,28,Y
190102,19,전기·전자,01,전기,02,발전설비운영,28,Y
190103,19,전기·전자,01,전기,03,송배전설비,28,Y
190104,19,전기·전자,01,전기,04,지능형전력망설비,28,Y
190105,19,전기·전자,01,전기,05,전기기기제작,28,Y
190106,19,전기·전자,01,전기,06,전기설비설계·감리,28,Y
190107,19,전기·전자,01,전기,07,전기공사,28,Y
190108,19,전기·전자,01,전기,08,전기자동제어,28,Y
190109,19,전기·전자,01,전기,09,전기철도,28,Y
190110,19,전기·전자,01,전기,10,철도신호제어,28,Y
190111,19,전기·전자,01,전기,11,초임계CO₂발전,28,Y
190112,19,전기·전자,01,전기,12,전기저장장치,28,Y
190113,19,전기·전자,01,전기,13,미래형전기시스템,28,Y
190114,19,전기·전자,01,전기,14,전지,28,Y
190201,19,전기·전자,02,전자기기일반,01,전자제품개발기획·생산,28,Y
190202,19,전기·전자,02,전자기기일반,02,전자부품기획·생산,28,Y
190203,19,전기·전자,02,전자기기일반,03,전자제품고객지원,28,Y
190301,19,전기·전자,03,전자기기개발,01,가전기기개발,28,Y
190302,19,전기·전자,03,전자기기개발,02,산업용전자기기개발,28,Y
190303,19,전기·전자,03,전자기기개발,03,정보통신기기개발,28,Y
190304,19,전기·전자,03,전자기기개발,04,전자응용기기개발,28,Y
190305,19,전기·전자,03,전자기기개발,05,전자부품개발,28,Y
190306,19,전기·전자,03,전자기기개발,06,반도체개발,28,Y
190307,19,전기·전자,03,전자기기개발,07,디스플레이개발,28,Y
190308,19,전기·전자,03,전자기기개발,08,로봇개발,28,Y
190309,19,전기·전자,03,전자기기개발,09,의료장비제조,28,Y
190310,19,전기·전자,03,전자기기개발,10,광기술개발,28,Y
190311,19,전기·전자,03,전자기기개발,11,3D프린터개발,28,Y
190312,19,전기·전자,03,전자기기개발,12,가상훈련시스템개발,28,Y
190313,19,전기·전자,03,전자기기개발,13,착용형스마트기기,28,Y
190314,19,전기·전자,03,전자기기개발,14,플렉시블디스플레이개발,28,Y
190315,19,전기·전자,03,전자기기개발,15,스마트팜개발,28,Y
190316,19,전기·전자,03,전자기기개발,16,OLED개발,28,Y
190317,19,전기·전자,03,전자기기개발,17,커넥티드카개발,28,Y
190318,19,전기·전자,03,전자기기개발,18,자율주행개발,28,Y
190319,19,전기·전자,03,전자기기개발,19,원격시스템개발,28,Y
190320,19,전기·전자,03,전자기기개발,20,전자기기개발,28,Y
200101,20,정보통신,01,정보기술,01,정보기술전략·계획,28,Y
